Nama Pengguna,Rating,Ulasan
W***a,bintang 5,"wanginya woody bgt, kaya wangi tasbih kayu. Pas make ini berasa kaya mau jumatan, karakter sholehnya berasa semakin terpancar 🤣🤣. Hal baru buat saya yg biasanya beli pa..."
Razi,bintang 5,Chakep sih wanginya
I***n,bintang 5,lama diproses
Irwan,bintang 5,Good n Quick response
B***o,bintang 5,"seller fast response, pesanan segera dikirim. pengemasan aman berlapis. kalau soal aroma parfumnya, ya lumayan lah, punya karakter sendiri yang tidak mirip dengan parfum..."
S***t,bintang 5,"Wangi khas arab, awet wanginya"
dzaky,bintang 5,Wangi yang menyenangkan
Nugroho,bintang 5,👍👍👍👍
I***i,bintang 5,Mantab
Dovy,bintang 5,enak wanginya!!
Osman,bintang 5,Wanginya keren mirip produk impor. Cepat sampai dan kemasan bagus.
Louis,bintang 5,Wanginya enak.. 👍👍👍
Salman,bintang 5,boleh juga sih ini parfum oud yg menurut gua masih nyaman diterima di hidung
D***l,bintang 5,ombre bgt wanginya 1:1
C***i,bintang 5,Suka
Joe,bintang 5,👍👍👍
Abah,bintang 5,respon cepat pengiriman cepat kualitas barang bagus sesuai dengan ekspektasi.
W***m,bintang 5,"Wangi, botolnya baguss, mantabb"
Herlina,bintang 5,Brand lokal yg membanggakan!! Pesanan kesekian kali. Wanginya tahan lama. Botolnya keren. Harga terjangkau.
Rahmat,bintang 5,Tegas banget base notes nya sd akhir. IMO parfume ini kurang pas untuk anak muda dibawah 25. krn dengan base notes se tegas itu langsung identik dwngan laki laki yg mapan...
S***a,bintang 5,"Good quality, good perfumes, wangi nya enak"
Abdurahman,bintang 5,"Cepet dikirim nya, wangi nya mantep."
Kamaludin,bintang 5,"Pengiriman cepat, packing aman. Kualitas produk bagus, parfume cuma tahan 4 jam...lumayanlah utk harga segitu"
A***t,bintang 5,suka wanginya minus kurirnya
Permana,bintang 5,"Sesuai pesanan produk OK, dan seller sangat responsif"
Ady,bintang 5,well received thx seller
K***i,bintang 5,Wangi wangi wangi wangi wangi wangi wangi wangi wangi wangi wangi wangi
F***s,bintang 5,👍👍👍
eko,bintang 5,manttaappp
B***y,bintang 5,wanginya enak
bimo,bintang 5,Bau nya khas arab tp ada bau kulit nya cocok untuk harian
A***e,bintang 5,wanginya ok banget...mirip2 tom ford tuscan leather
Permana,bintang 5,"Sesuai pesanan, produk OK, dan seller sangat responsif"
Erhar,bintang 5,Barang sudah sampai dgn baik.. wanginya mantaaaps
P***s,bintang 5,"Barang Cepat Sampai, Bau enak dan lumayan tahan lama👍🏻"
Bambang,bintang 5,ada harga ada kualitas so far so good tks
Rio,bintang 5,Recommended 🔥🔥
Zulkarnain,bintang 5,"Produk (parfum) sudah diterima dengan baik, seller responsif, pengiriman cepat dan aman, terima kasih"
Febrianto,bintang 5,seger baunya tahan lama
andra,bintang 5,"produk OK sesuai deskripsi, respon seller OK, packaging n delivery OK, smoga awet digunakan 👍"
Putri,bintang 5,Wanginya enak
agung,bintang 5,"Mantul alias Mantab Betul belanja di toko ini, respon cepat, pengiriman ajib, barang pesanan sesuai pada lapak yg ditampilkan, kalo gini ga bakal berpaling dehhh ke toko..."
a***a,bintang 5,Enak dan awet
Ernes,bintang 5,Suka banget wanginya!!!
Muhammad,bintang 5,suka dengan aromanya. Sudah lama mencari aroma parfum seperti ini. sangat direkomendasikan. cocok digunakan untuk malam hari
A***r,bintang 5,"Sesuai deskripsi, thanks"
H***u,bintang 5,"Barang bagus, seller fast respond"
edo,bintang 5,Ok
