Nama Pengguna,Rating,Ulasan
S***n,bintang 5,Suka bgt sm si hitam ini wkwk best lah pokoknya. yg agak bikin kecewa itu pengirimannya agak lama sih
K***B,bintang 5,"Alhamdulillah sudah datang pesanan parfumnya, wanginya mantap nih"
Handy,bintang 5,mantul gan 💪🙏
I***n,bintang 5,Mantuuuull
S***l,bintang 5,"wanginya manis, seger gitu, enak sih menurutku"
Fachrudin,bintang 5,packing aman sekali
H***s,bintang 5,"ini bau nya manis, menurut saya soft.."
Broto,bintang 5,Ok
Y***a,bintang 5,sudah diterima dengan baik cuman kurirnya agak lama ya padahal masih satu daerah thanks kahf
T***h,bintang 5,"barang datang dengan sangat aman, di kasih bubble wrap. wangi emang suka, berawal dari temen beli dan ternyata wanginya cocok ada oudnya tapi seger."
R***l,bintang 5,wanginya soft .. nyaman dipakai.. tuk kemasannya mantab
B***l,bintang 5,"alhamdulillah brg sdh diterima, cocok dg produknya, packing aman, rekomended seller"
Rakassably,bintang 5,Wokey
e***R,bintang 5,"suka banget sama wanginya, kalem2 nendang dan manis gituu.. insyaAllah kalo habis order lagi, semoga Allah mudahkan rezekinya😊, pengemasan mantaPKS, produk mantaPKS harg..."
S***i,bintang 5,wanginya top dah.
Purwo,bintang 5,"Alhamdulillah sudah sampai, wangi nya enak, Mudah2an wanginya awet lama, trims seller Pak kurir dan Tokped …"
T***o,bintang 5,ada aroma parfum arab2nya...enak jg
Ragil,bintang 5,sip l
Dio,bintang 5,Wanginya lumayan enak
R***i,bintang 5,Aromanya seperti fresh cocok untuk dipakai beraktivitas siang dan malam hari.
P***o,bintang 5,"respon cepat, pelayanan oke, barang sesuai"
F***l,bintang 5,"cepat, produk wangi nya pas, kalau soal tahan lama belum dicoba"
H***n,bintang 5,"Oke, packing aman, barang bagus sesuai deskripsi Pengiriman aja yg lama"
D***l,bintang 5,"packing bagus, barang sesuai"
difi,bintang 5,bertabur bintang bintang.
L***y,bintang 5,"barang mantap, bukan kaleng2 pokoknya"
Vincent,bintang 5,"Received in good conditions, thanks"
A***d,bintang 5,"Terima kasih barang sudah sampai, tapi belum dicoba. 🙏🏻"
R***u,bintang 5,Enaak wanginyaa..
M***d,bintang 5,"pengiriman cepat, packing rapih bagus, wangi2 nya bagus dan tergantung selera masing aja"
sri,bintang 5,"manisnya enak lumayan.., coba yg lain ahh.. selengkapnya ; https://youtu.be/sdx9r_IE0YE"
Luqman,bintang 5,next order lagi
kholil,bintang 5,awet banget wanginya
M***a,bintang 5,"mantap , respon admin nya ramah dan ngasih rekomendasi parfume nya . bisa-bisa berlangganan nih . hehehe . pengiriman nya juga cepat"
E***a,bintang 5,parfum cowo tapi wanginya kalem bgt lebih cocok ke cewe malah hehe
Z***l,bintang 5,wangi sih sekali semprot ajah
oky,bintang 5,nyampenya sesuai estimasi. kirain bisa lebih cepat pengirimannya
Muhamad,bintang 5,barang sampai dengan aman
Yohanes,bintang 5,kahf reverd oud never fail! udah repeat order berkali2. Pengiriman agak lama tapi OK lah
Krisna,bintang 5,Wanginya enak.. Udah pake ini dari orok..
Y***i,bintang 5,Recommended seller. Harga bersaing pengiriman cepat. Paket aman.
