Nama Pengguna,Rating,Ulasan
Y***a,bintang 5,Wanginya manis enak
wilham,bintang 5,pengiriman lambat tapi produk sngt baik dan pastinya wangij ok
D***i,bintang 5,"Intinya kek apotek tutup lah, gadak obat !!!"
Fransisca,bintang 5,Always re purchase utk wangi ini..sesuka itu memang..krn sdh teruji ketahanannya jg. Pertahankan…
m***z,bintang 5,Mantap
A***f,bintang 5,Paket diterima dengan baik dan sesuai pesanan
viu,bintang 4,ok
Ayu,bintang 5,"Sampai dengan aman. Sangat wangi, thx seller"
Irfan,bintang 5,Wanginya awet
Muhammad,bintang 5,Terimakasiih....
Daniel,bintang 5,Gak usah diragukan lagi wanginya tahan lama dan enak
Kristian,bintang 5,"suka sama wanginya, awet tahan lama"
Clara,bintang 5,sudah repeat order...
Good,bintang 5,Wanginya sweet
B***u,bintang 5,"Biasa aja seh,gak yg enak2 bgt..baunya gak kerasa bau yg mahal,lebih mirip parfum refill dr top notes n tonjokan awal.."
E***o,bintang 5,"Parfum yang bagus sebenarnya, bahkan lebih bagus dari merk lokal sejenis aka ""manusia"". Dimulai spl yang strong parah dan transisi note yang halus, jelas gak baka..."
Riza,bintang 5,"Baunya enak, dikasih tester enak juga belum di coba harian, kalau bagus saya langganan"
Henry,bintang 5,"parfum oke, cuma jgn pakek kurir sapx ya bro"
D***i,bintang 5,terbaik 👍
D***i,bintang 5,"wangi parfum manis, di akhir ada rasa coconut"
Agus,bintang 5,Mantap tapi skrg wangi ini pasaran bgt wkwk
D***n,bintang 5,MANTEP
i***n,bintang 5,sukakkk bgt dpt bonus jugaa
E***a,bintang 5,Wanginya enak
M***l,bintang 5,hidup promo 6.6! 😁
Muhammad,bintang 5,"Barang sampai dengan aman, wanginya emang enak banget sih, soft elegan gitu, cocok banget buat ngantor nih"
Hana,bintang 5,"Pertama kali beli parfum SAFF & Co sangat puas pengiriman sangat cepat, packing aman, dan untuk wanginya pertama semprot wangi parfum nya enak terasa sweet dan flora..."
Yustisia,bintang 5,"packaging aman sekali, wangi enak, kemasan eksklusif"
Abdul,bintang 5,minus kendor tutupnya packaging nya sih oke berasa mahal
A***i,bintang 4,testernya kosong 😂 buat apaan min 😆
Meilani,bintang 5,"Sampenya cepet, sesuka itu sama wanginya 😍🫰thanks seller"
B***a,bintang 5,"wanginya enak, cocok buat di segala tempat"
Ella,bintang 5,"aroma yg sudah lama saya cari².....wanginya manis, dominan melati+sedap malam, awet tahan 10 jam di kerudung, sukaaa banget"
Niko,bintang 5,Pesanan saya terima dalam keadaan baik terima kasih Seller dan kurir.
Bill,bintang 5,sesuai pesanan...respond sangat cepat
A***n,bintang 5,cool
Adrian,bintang 5,"Pretty nice, would buy again"
Anna,bintang 5,"ini udah repurchase kesekian kalinya, beli pas 6.6 dapet diskon banyak lumayan makasih ya seller.. dapet free tester Irai Leima suka juga wanginya"
S***Y,bintang 5,Walau gak dpt bonusan...tp aromanya bagus..semoga next order dpt bonusan
Nabilla,bintang 5,"wanginya enak bangett , worth the hype! dapet tester jugaa thanks seller🫶🏻"
Aristi,bintang 5,suka banget sm wanginy. & lumayan tahan lama. wajib beli sie ini mah.
A***y,bintang 5,okee
R***n,bintang 5,Wanginya
P***o,bintang 4,Ternyata aroma spt pierre cardin 😀😀😀
anggur,bintang 5,wangi pol kesukaan terima kasih
H***b,bintang 4,pengiriman bisa ditingkatkan
C***e,bintang 5,"beli tanpa coba langsung, ternyata aku gak suka wanginya. wangi tahan gak smp setengah hari (dipakai indoor outdoor). bagi yang suka wangi powdery fresh, bukan SOTB (krn..."
Iwan,bintang 5,"wanginya suka, notes nya cocok"
C***y,bintang 5,waktu beli yg kcl enak aekali wanginya akhirnya beli yg besar 🫰
Sean,bintang 5,Wanginya enak dapet tester juga
A***m,bintang 4,"ga terlalu enak wangi nya untuk cowo, thanks"
M***d,bintang 5,terima kasih
R***o,bintang 5,sudah punya varian ostara dan sotb dua duanya wanginya enak
C***A,bintang 5,Ini parfum amat sangat recomended. Wanginya sofr banget. saat pertama disemprot juga ga nyengat. Ini sampe ada yang bilang kok wanginya gak ilang2 pas aku nemuin temen si...
Y***n,bintang 5,"Kata mantan wanginya enak awet soft dan lain lain dah, terimakasih.."
A***h,bintang 4,"Baru uji coba perdana, klo wanginya kebetulan bukan selera sy ya."
Venny,bintang 5,real pict wangi pengen coba varian yg lain
R***D,bintang 5,Selalu puas dgn packingan dr toko ini rapi dan baik. Barang sesuai deskripsi dan kualitas parfumnya. Aromanya saya suka berbeda dgn parfum2 saya sebelumnya. Sekoga ini a...
